PE321_35	RP321352
PE321_33	RP321332
PE321_31	RP321312
PE321_27	RP321272
PE321_25	RP321252
PE321_23	RP321234
PE321_21	UP321212
PE319_18	UP319181
PE319_18	RP319182
PE319_17	RP319172
PE319_16	UP319161
PE319_15	RP319153
PE319_12	UP319121
PE319_11	UP319111
PE319_10	RP319102
JC057_9	RC057092
JC057_8	UC057081
JC057_7	UC057072
JC057_6	RC057062
JC057_5	UC057051
JC057_4	UC057041
JC057_3	RC057032
JC057_2	RC057022
JC057_1	RC057012
JC057_18	RC057182
JC057_17	RC057172
JC057_16	UC057162
JC057_15	RC057152
JC057_14	RC057142
JC057_13	RC057132
JC057_12	RC057122
JC057_11	UC057112
JC057_10	UC057101
